price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
750,3,1,True,False,60,flat,Horta- Guinardo,12.5
770,2,1,True,False,59,flat,Sant Andreu,13.05084745762712
1300,1,1,True,True,30,flat,Gràcia,43.333333333333336
2800,1,1,True,True,70,flat,Ciutat Vella,40.0
720,2,1,True,False,44,flat,Sant Andreu,16.363636363636363
1100,3,2,False,False,118,attic,Horta- Guinardo,9.322033898305085
1350,3,3,True,False,84,flat,Sarria-Sant Gervasi,16.071428571428573
900,2,1,True,False,60,flat,Sarria-Sant Gervasi,15.0
1165,4,2,True,False,106,flat,Horta- Guinardo,10.99056603773585
1050,2,1,True,False,70,flat,Les Corts,15.0
2500,4,2,True,False,161,flat,Sarria-Sant Gervasi,15.527950310559008
1335,2,1,True,False,55,flat,Sant Martí,24.272727272727277
2200,4,2,True,True,175,flat,Eixample,12.571428571428571
2500,3,2,True,True,145,flat,Sarria-Sant Gervasi,17.24137931034483
980,2,2,True,False,82,flat,Eixample,11.951219512195122
1050,2,1,True,False,66,flat,Eixample,15.909090909090908
1350,3,2,True,False,95,flat,Eixample,14.210526315789474
1080,3,2,True,False,92,flat,Gràcia,11.73913043478261
2500,3,2,True,False,130,flat,Les Corts,19.23076923076923
950,3,1,True,False,76,attic,Horta- Guinardo,12.5
850,3,2,True,False,80,flat,Sants-Montjuïc,10.625
1800,3,2,False,False,102,flat,Eixample,17.647058823529413
2300,2,2,True,False,150,flat,Eixample,15.333333333333334
950,4,1,True,False,90,flat,Sants-Montjuïc,10.555555555555555
842,3,1,True,False,68,flat,Horta- Guinardo,12.382352941176473
1350,3,3,True,False,84,flat,Sarria-Sant Gervasi,16.071428571428573
900,2,1,True,False,60,flat,Sarria-Sant Gervasi,15.0
1165,4,2,True,False,106,flat,Horta- Guinardo,10.99056603773585
1050,2,1,True,False,70,flat,Les Corts,15.0
2500,4,2,True,False,161,flat,Sarria-Sant Gervasi,15.527950310559008
1335,2,1,True,False,55,flat,Sant Martí,24.272727272727277
900,1,1,True,False,45,flat,Eixample,20.0
1180,3,1,True,True,79,flat,Eixample,14.936708860759492
900,3,1,True,False,65,flat,Les Corts,13.846153846153848
1200,4,2,True,False,116,flat,Sarria-Sant Gervasi,10.344827586206897
750,1,1,False,False,45,flat,Eixample,16.666666666666668
1400,3,2,True,False,93,flat,Sarria-Sant Gervasi,15.053763440860216
